index,year,package,className,direction
323,2007,base.trunk.src.org.hsqldb.persist,TempDataFileCache,To
324,2007,base.trunk.src.org.hsqldb.test,AllSimpleTests,From
325,2007,base.trunk.src.org.hsqldb.test,AllSimpleTests,To
326,2007,base.trunk.src.org.hsqldb.test,TestLibSpeed,From
327,2007,base.trunk.src.org.hsqldb.test,TestLibSpeed,To
328,2007,base.trunk.src.org.hsqldb.util.preprocessor,Preprocessor,From
329,2007,base.trunk.src.org.hsqldb.util.preprocessor,Preprocessor,To
330,2007,base.trunk.src.org.hsqldb.lib,MultiValueHashMap,From
331,2007,base.trunk.src.org.hsqldb.lib,MultiValueHashMap,To
332,2007,base.trunk.src.org.hsqldb.jdbc,jdbcStatement,From
333,2007,base.trunk.src.org.hsqldb.jdbc,jdbcStatement,To
334,2007,base.trunk.src.org.hsqldb.test,TestBug785429,From
335,2007,base.trunk.src.org.hsqldb.test,TestBug785429,To
336,2007,base.trunk.src.org.hsqldb.rights,Right,From
337,2007,base.trunk.src.org.hsqldb.rights,Right,To
338,2007,base.trunk.src.org.hsqldb.persist,ScaledRAFileHybrid,From
339,2007,base.trunk.src.org.hsqldb.persist,ScaledRAFileHybrid,To
340,2007,base.trunk.src.org.hsqldb.test,TestLikePredicateOptimizations,From
341,2007,base.trunk.src.org.hsqldb.test,TestLikePredicateOptimizations,To
342,2007,base.trunk.src.org.hsqldb.jdbc,jdbcBlob,From
343,2007,base.trunk.src.org.hsqldb.jdbc,jdbcBlob,To
344,2007,base.trunk.src.org.hsqldb.util,QueryTool,From
345,2007,base.trunk.src.org.hsqldb.util,QueryTool,To
346,2007,base.trunk.test.org.hsqldb.jdbc,jdbcNClobTest,From
347,2007,base.trunk.test.org.hsqldb.jdbc,jdbcNClobTest,To
348,2007,base.trunk.src.org.hsqldb.jdbc,jdbcClob,From
349,2007,base.trunk.src.org.hsqldb.jdbc,jdbcClob,To
350,2007,base.trunk.src.org.hsqldb.types,BlobDataMemory,From
351,2007,base.trunk.src.org.hsqldb.types,BlobDataMemory,To
352,2007,base.trunk.src.org.hsqldb.navigator,RowSetNavigator,From
353,2007,base.trunk.src.org.hsqldb.navigator,RowSetNavigator,To
354,2007,base.trunk.src.org.hsqldb.rowio,RowInputText,From
355,2007,base.trunk.src.org.hsqldb.rowio,RowInputText,To
356,2007,base.trunk.src.org.hsqldb.rowio,RowInputTextLog,From
357,2007,base.trunk.src.org.hsqldb.rowio,RowInputTextLog,To
358,2007,base.trunk.src.org.hsqldb.test,TestCascade,From
359,2007,base.trunk.src.org.hsqldb.test,TestCascade,To
360,2007,base.trunk.src.org.hsqldb.navigator,ClientRowSetNavigator,From
361,2007,base.trunk.src.org.hsqldb.navigator,ClientRowSetNavigator,To
362,2007,base.trunk.src.org.hsqldb.util.preprocessor,BasicResolver,From
363,2007,base.trunk.src.org.hsqldb.util.preprocessor,BasicResolver,To
364,2007,base.trunk.src.org.hsqldb.types,ClobType,From
365,2007,base.trunk.src.org.hsqldb.types,ClobType,To
366,2007,base.trunk.src.org.hsqldb.test,TestBatchExecution,From
367,2007,base.trunk.src.org.hsqldb.test,TestBatchExecution,To
368,2007,base.trunk.test.org.hsqldb.jdbc,jdbcStatementTest,From
369,2007,base.trunk.test.org.hsqldb.jdbc,jdbcStatementTest,To
370,2007,base.trunk.src.org.hsqldb.types,BlobInputStream,From
371,2007,base.trunk.src.org.hsqldb.types,BlobInputStream,To
372,2007,base.trunk.src.org.hsqldb.dbinfo,DITypeInfo,From
373,2007,base.trunk.src.org.hsqldb.dbinfo,DITypeInfo,To
374,2007,base.trunk.src.org.hsqldb.test,TestBug808460,From
375,2007,base.trunk.src.org.hsqldb.test,TestBug808460,To
376,2007,base.trunk.src.org.hsqldb.test,TestINPredicateParameterizationAndCorrelation,From
377,2007,base.trunk.src.org.hsqldb.test,TestINPredicateParameterizationAndCorrelation,To
378,2007,base.trunk.src.org.hsqldb.util,ZaurusEditor,From
379,2007,base.trunk.src.org.hsqldb.util,ZaurusEditor,To
380,2007,base.trunk.src.org.hsqldb.types,ClobInputStream,From
381,2007,base.trunk.src.org.hsqldb.types,ClobInputStream,To
382,2007,base.trunk.src.org.hsqldb,Expression,From
383,2007,base.trunk.src.org.hsqldb,Expression,To
384,2007,base.trunk.src.org.hsqldb.test,TestSqlPersistent,From
385,2007,base.trunk.src.org.hsqldb.test,TestSqlPersistent,To
386,2007,base.trunk.src.org.hsqldb.types,DateTimeType,From
387,2007,base.trunk.src.org.hsqldb.types,DateTimeType,To
388,2007,base.trunk.src.org.hsqldb.test,TestBase,From
389,2007,base.trunk.src.org.hsqldb.test,TestBase,To
390,2007,base.trunk.src.org.hsqldb.lib,IntValueHashMap,From
391,2007,base.trunk.src.org.hsqldb.lib,IntValueHashMap,To
392,2007,base.trunk.src.org.hsqldb.test,TestHarness,From
393,2007,base.trunk.src.org.hsqldb.test,TestHarness,To
394,2007,base.trunk.src.org.hsqldb.types,BlobDataRemoteClient,From
395,2007,base.trunk.src.org.hsqldb.types,BlobDataRemoteClient,To
396,2007,base.trunk.src.org.hsqldb.test,TestSubselect,From
397,2007,base.trunk.src.org.hsqldb.test,TestSubselect,To
