versionDate,packageName,className,classSize,duplicateCount,duplicateLines,largestDuplicate
2008,base.trunk.src.org.hsqldb.util,Tree,253,10,101,20
2007,base.trunk.test.org.hsqldb.jdbc,jdbcSQLXMLTest,243,6,33,7
2007,base.trunk.src.org.hsqldb,CommandParser,622,4,25,8
2008,base.trunk.test.org.hsqldb.jdbc,jdbcDatabaseMetaDataSupportsConvertTest,126,2,11,6
2007,base.trunk.src.org.hsqldb.test,TestSubselect,266,3,17,6
2008,base.trunk.src.org.hsqldb.test,TestSql,487,9,69,11
2007,base.trunk.src.org.hsqldb.test,TestBug785429,86,3,18,7
2008,base.trunk.src.org.hsqldb.types,ClobInputStream,78,3,41,19
2007,base.trunk.src.org.hsqldb.rowio,RowOutputText,229,5,37,11
2008,base.trunk.test.org.hsqldb.jdbc,jdbcCallableStatementTest,979,25,159,10
2007,base.trunk.src.org.hsqldb,SetFunction,311,6,46,10
2007,base.trunk.src.org.hsqldb.types,ClobDataRemoteClient,114,7,39,7
2008,base.trunk.src.org.hsqldb,Session,794,2,22,11
2008,base.trunk.src.org.hsqldb.types,ClobType,126,20,151,23
2007,base.trunk.src.org.hsqldb.util,Grid,278,8,77,20
2008,base.trunk.src.org.hsqldb.dbinfo,DITableInfo,307,5,59,20
2007,base.trunk.src.org.hsqldb.persist,DataFileCache,484,5,26,6
2007,base.trunk.src.org.hsqldb.types,CharacterType,574,38,283,19
2008,base.trunk.src.org.hsqldb.test,AllSimpleTests,49,1,5,5
2007,base.trunk.src.org.hsqldb.util,ZaurusDatabaseManager,469,21,189,37
2007,base.trunk.src.org.hsqldb.scriptio,ScriptWriterBinary,75,2,11,6
2008,base.trunk.src.org.hsqldb.jdbc,jdbcBlob,239,8,63,9
2008,base.trunk.src.org.hsqldb.jdbc,jdbcConnection,741,11,69,7
2007,base.trunk.src.org.hsqldb.store,ReusableObjectCache,21,1,5,5
2008,base.trunk.src.org.hsqldb,Expression,3390,73,536,33
